# V1	V2 
6289434 5578930

5449790 6360588
5497376 6317394
5509168 6243800
5515094 6221302
5517326 6213532
5543098 6150386
5569186 6098304
5575970 6095022
5583952 6042126
5612434 6036164
5617618 6027198
5619280 5993738
5628856 5992568
5654492 5947008
5691142 5916532
5693644 5910702
5705094 5872634
5744078 5846660
5758548 5830634
5794420 5805406
5801654 5788142
5864826 5726540
5877074 5726028
5919900 5710778
5929708 5692868
5931392 5681482
5947286 5674014
6002630 5630226
6087886 5623256
6145286 5612586
6146552 5612552
6155652 5609596
6179356 5600760
6190666 5574378
6318134 5567528

5471220 6468532
5482532 6395690
5486656 6314146
5501106 6302906
5512580 6271016
5528464 6207280
5530358 6201316
5532944 6171108
5565482 6157722
5571040 6087264
5580004 6084082
5614482 6034960
5615832 5989788
5646232 5984510
5676516 5889250
5705932 5868272
5763350 5860400
5775828 5802802
5841996 5777068
5891626 5743364
5916262 5718944
5935150 5706706
5961250 5685776
5981954 5670504
6018184 5670042
6033064 5654170
6050652 5599726
6175722 5598556
6279254 5595090
6332050 5587276
6465206 5564530

5476436 6408608
5478444 6387120
5482118 6350128
5493142 6246986
5508674 6244768
5524268 6228466
5527382 6215856
5531182 6180854
5553874 6119424
5572456 6101534
5578762 6069204
5602250 6026392
5651678 6010604
5655438 5960172
5669662 5941576
5703622 5888538
5726340 5875696
5735524 5841520
5783990 5827008
5801634 5814228
5833744 5780676
5839964 5779752
5855850 5766676
5858106 5754604
5865518 5732046
5883178 5726642
5889742 5711072
5926030 5697440
5941092 5686218
5981268 5664032
6020892 5649144
6053788 5638612
6085058 5623378
6158830 5610796
6184890 5582856
6197438 5580976
6206466 5579856

5475416 6416414
5494808 6322584
5494898 6277040
5507310 6249028
5510056 6224506
5545328 6170464
5549950 6140024
5556222 6098820
5564384 6082464
5582810 6056022
5605832 6052350
5611844 6010136
5630012 5988642
5637806 5970850
5650776 5954760
5670672 5933222
5689326 5906660
5729392 5896104
5747050 5831224
5763440 5822956
5785838 5813370
5796866 5811936
5825328 5715716
5924600 5680902
5967970 5675118
5981970 5657248
6022560 5627144
6122836 5615908
6173136 5609690
6174692 5598520
6229418 5590962
6270800 5589716
6284222 5565580

5466502 6446336
5467992 6390878
5479664 6362974
5492064 6326966
5492484 6322866
5499922 6291382
5504254 6167980
5556712 6164764
5558676 6126026
5563106 6117316
5572622 6083426
5591680 6053926
5606676 6005232
5649200 5973054
5649594 5903672
5682254 5896098
5733892 5875122
5738722 5867076
5767500 5843076
5800616 5783878
5823378 5762688
5833484 5754320
5850344 5737568
5873752 5726626
5970470 5675280
6006328 5671568
6006754 5651258
6013652 5649844
6057966 5647930
6087738 5613908
6159902 5607402
6173798 5605132
6175228 5603782
6187338 5600156
6200572 5583828
6204620 5582636
6280986 5573892
6412792 5572106

5485682 6446206
5494238 6398914
5500454 6391388
5501406 6237808
5520706 6220172
5535056 6127840
5566128 6041192
5642124 5938724
5684194 5914826
5708454 5888878
5732276 5872608
5751898 5843442
5775094 5841756
5784542 5836496
5803668 5801326
5808424 5794892
5825092 5780748
5854922 5755850
5914738 5727130
5921530 5721118
5938180 5714496
5942532 5669070
5964712 5659966
6037352 5653196
6062878 5640288
6091350 5634882
6107326 5621856
6172602 5605134
6189200 5599982
6200210 5593368
6228116 5587244
6233406 5581708
6239380 5567994
6311924 5566262

5478454 6305380
5504670 6261120
5506744 6238540
5508922 6211710
5519682 6167122
5552246 6140320
5552776 6116692
5576682 6088614
5577978 6085384
5590356 6041578
5605824 6019908
5630326 6008634
5648488 5894918
5715008 5881122
5720832 5852380
5767266 5842926
5780832 5806990
5809546 5776604
5838912 5712818
5894558 5712808
5975678 5640822
6044740 5634566
6060504 5615632
6125704 5605784
6170204 5591392
6259054 5586726
6288594 5572586

5487404 6505136
5488066 6469774
5491100 6468776
5494454 6466944
5496488 6265610
5505678 6203570
5530012 6199960
5540236 6179770
5540758 6120200
5569652 6097142
5594360 6094274
5605600 5987872
5641364 5965428
5642756 5906184
5660574 5904474
5668140 5893668
5714694 5892624
5719186 5857312
5756394 5824572
5800002 5814280
5815284 5788864
5830600 5772410
5845572 5759124
5899410 5739376
5913894 5707548
5932538 5692260
5942804 5650630
6067430 5645978
6099890 5634122
6102370 5615454
6185322 5602756
6229324 5581660
6383824 5575026

5459624 6428096
5482434 6382876
5482998 6367468
5488694 6355134
5503436 6317548
5510740 6311844
5514852 6123142
5559384 6090636
5578092 6063416
5587144 6045020
5591742 6004966
5658562 5920124
5700632 5903432
5712048 5885158
5721200 5876400
5737732 5873206
5766018 5838690
5786404 5815978
5804348 5782172
5816338 5771742
5873988 5738298
5887378 5736068
5895956 5735474
5902780 5729986
5922248 5716432
5966162 5685622
6014824 5667174
6038912 5648196
6048966 5632480
6104140 5614558
6146154 5609348
6162608 5580476
6261536 5563968

5477798 6449140
5479438 6395840
5483538 6218896
5514362 6175112
5549712 6164854
5559170 6102538
5593456 6053856
5609602 6020730
5619402 6010464
5631064 5979454
5649360 5912220
5713618 5909768
5714244 5884078
5748984 5845392
5749164 5836510
5750810 5822506
5820888 5767022
5834684 5736210
5860990 5724518
5938544 5708498
5938874 5691396
5981106 5673554
5987936 5667424
6015752 5667104
6043446 5656200
6049822 5640162
6073992 5636398
6087080 5617556
6181176 5614454
6198434 5575140
6346566 5537606

5483532 6428890
5492880 6370378
5501636 6321612
5504956 6210876
5518638 6202918
5521582 6173098
5540626 6127020
5544388 6116352
5562316 6113500
5580746 6072986
5588580 6059712
5590504 6058282
5593166 6042970
5619372 6019842
5625578 6008600
5640660 5947930
5686584 5892942
5732404 5864002
5733668 5839386
5775534 5829672
5780904 5798060
5803422 5744810
5861676 5735474
5897536 5728874
5929106 5669632
6005956 5664968
6024628 5602998
6136692 5602388
6208558 5589984
6289078 5577538
6340194 5561110

5475250 6377744
5475538 6300898
5489862 6254860
5514748 6218272
5520354 6201664
5521426 6195350
5522986 6172960
5551334 6075652
5606018 6030684
5614248 6018184
5632198 6006710
5636696 5947192
5688418 5918022
5695524 5895104
5714772 5887822
5733200 5877002
5755204 5855330
5775646 5829228
5804642 5803844
5836288 5778376
5856586 5764250
5864598 5753968
5903266 5723860
5914304 5666354
6011494 5659530
6062182 5635752
6065886 5631876
6102566 5611292
6181224 5584990
6262830 5569638
6319012 5568810
6323814 5559744

5485454 6435060
5486024 6430600
5489652 6311602
5498668 6236122
5514236 6218510
5522926 6202370
5535544 6148218
5566686 6088756
5583268 6078068
5593026 6036524
5639562 6016236
5640904 5975304
5661706 5974254
5687332 5892614
5722928 5882386
5746072 5865588
5750716 5858940
5772214 5796528
5799536 5776254
5830698 5753610
5849740 5744968
5903734 5703246
5946244 5701550
5960694 5692208
5982448 5680232
6010916 5670600
6026868 5630170
6097832 5589806
6137714 5574058
6241710 5569848
6403462 5540170

5477070 6381546
5482812 6343942
5497738 6250668
5500700 6195740
5529378 6187972
5547150 6163038
5569934 6106006
5570852 6096484
5578912 6085038
5587420 6074020
5596830 6067552
5630536 5974450
5685806 5954198
5689308 5919094
5708858 5905640
5714196 5871406
5744476 5841532
5755330 5835452
5807046 5800740
5856690 5780370
5870194 5746190
5873514 5738670
5887332 5704492
5922840 5698928
5958844 5684162
5994002 5680112
5999338 5674010
6028500 5659068
6028742 5656484
6050358 5637648
6097612 5617122
6124398 5613534
6160934 5610418
6192978 5591884
6234512 5579598
6310244 5574518

5475788 6343900
5500038 6214932
5515048 6185826
5560590 6165392
5569894 6079136
5593678 6050686
5612714 6033938
5620914 6032792
5628756 6031746
5639846 5985054
5649930 5933230
5675978 5922054
5697432 5898172
5716232 5834492
5796318 5794706
5818138 5785016
5838756 5749064
5860490 5712612
5891766 5710352
5968886 5692592
5991376 5669418
5994528 5630022
6145124 5603974
6173424 5586596
6189704 5572946
6340204 5572896

5449910 6516530
5482336 6285234
5494198 6275156
5517278 6242008
5520934 6195258
5533524 6177806
5547656 6157390
5549098 6125744
5553602 6066752
5575196 6008336
5651312 5908634
5685192 5856062
5734570 5840310
5736886 5832454
5758336 5813940
5792400 5789752
5814488 5778094
5819438 5769344
5838818 5768270
5909692 5742358
5912076 5735228
5926230 5714812
5949448 5697930
6000986 5644570
6023396 5626212
6181120 5614154
6185072 5609036
6205964 5595802
